Title,Header in MD,Header in WDCML,Path in Kit,Area,Project,Type in MD,Type in WDCML,SubType in WDCML,Scraped,Scraped Status,Asset ID,Date Scraped,Xml Location,MD Location,Owner
INIT_AVCSTRM_HEADER,avcstrm.h,['Avcstrm.h'],['Kernel_Mode_Headers_(x86)\\avcstrm.h'],WDK,stream,function,macro,macro,N,Type Mismatch,264088F1-B717-4F2D-82DD-B393A6562BD2,N/A,stream\init_avcstrm_header.htm,avcstrm\SkeletonMD\nf-avcstrm-init-avcstrm-header.md,REDMOND\bagold
IOCTL_AVCSTRM_CLASS,avcstrm.h,['Avcstrm.h'],['Kernel_Mode_Headers_(x86)\\avcstrm.h'],WDK,stream,ioctl,special_constant,ioctl,N,Type Mismatch,4643CC63-7D66-497D-89F7-D90E8438CD71,N/A,stream\ioctl_avcstrm_class.htm,avcstrm\SkeletonMD\ni-avcstrm-ioctl-avcstrm-class.md,REDMOND\bagold
DXGKDDI_CHECKMULTIPLANEOVERLAYSUPPORT3,d3dkmddi.h,['D3dkmddi.h'],['Driver_Shared_Headers\\d3dkmddi.h'],WDK,display,callback,function,function,N,Type Mismatch,8BDB12BA-BFCB-4E3D-ADE5-59E1615BBC09,N/A,display\dxgkddi_checkmultiplaneoverlaysupport3.htm,d3dkmddi\SkeletonMD\nc-d3dkmddi-dxgkddi-checkmultiplaneoverlaysupport3.md,REDMOND\nabazan
DXGKDDI_CREATEPROTECTEDSESSION,d3dkmddi.h,['D3dkmddi.h'],['Driver_Shared_Headers\\d3dkmddi.h'],WDK,display,callback,function,function,N,Type Mismatch,2139BBB4-2DB2-4EA6-B4EC-82284376856A,N/A,display\dxgkddi_createprotectedsession.htm,d3dkmddi\SkeletonMD\nc-d3dkmddi-dxgkddi-createprotectedsession.md,REDMOND\nabazan
DXGKDDI_DESTROYPROTECTEDSESSION,d3dkmddi.h,['D3dkmddi.h'],['Driver_Shared_Headers\\d3dkmddi.h'],WDK,display,callback,function,function,N,Type Mismatch,F8FA48F1-BE48-4F63-A03A-997405D5A4A8,N/A,display\dxgkddi_destroyprotectedsession.htm,d3dkmddi\SkeletonMD\nc-d3dkmddi-dxgkddi-destroyprotectedsession.md,REDMOND\nabazan
DXGKDDI_GETMULTIPLANEOVERLAYCAPS,d3dkmddi.h,['D3dkmddi.h'],['Driver_Shared_Headers\\d3dkmddi.h'],WDK,display,callback,function,function,N,Type Mismatch,7A7C0A82-EF91-4DE2-A6A9-0CB56C5495B2,N/A,display\dxgkddi_getmultiplaneoverlaycaps.htm,d3dkmddi\SkeletonMD\nc-d3dkmddi-dxgkddi-getmultiplaneoverlaycaps.md,REDMOND\nabazan
DXGKDDI_GETPOSTCOMPOSITIONCAPS,d3dkmddi.h,['D3dkmddi.h'],['Driver_Shared_Headers\\d3dkmddi.h'],WDK,display,callback,function,function,N,Type Mismatch,FA12CA46-0B9A-4191-BC98-7B4C317FFE42,N/A,display\dxgkddi_getpostcompositioncaps.htm,d3dkmddi\SkeletonMD\nc-d3dkmddi-dxgkddi-getpostcompositioncaps.md,REDMOND\nabazan
DXGKDDI_POSTMULTIPLANEOVERLAYPRESENT,d3dkmddi.h,['D3dkmddi.h'],['Driver_Shared_Headers\\d3dkmddi.h'],WDK,display,callback,function,function,N,Type Mismatch,2C67ADA3-CE35-4524-86E4-52034B7D5A20,N/A,display\dxgkddi_postmultiplaneoverlaypresent.htm,d3dkmddi\SkeletonMD\nc-d3dkmddi-dxgkddi-postmultiplaneoverlaypresent.md,REDMOND\nabazan
DXGKDDI_SETTIMINGSFROMVIDPN,d3dkmddi.h,['D3dkmddi.h'],['Driver_Shared_Headers\\d3dkmddi.h'],WDK,display,callback,function,function,N,Type Mismatch,E80B0207-A8BE-4CCC-A34B-A50899F2ED60,N/A,display\dxgkddi_settimingsfromvidpn.htm,d3dkmddi\SkeletonMD\nc-d3dkmddi-dxgkddi-settimingsfromvidpn.md,REDMOND\nabazan
DXGKDDI_SETVIDPNSOURCEADDRESSWITHMULTIPLANEOVERLAY3,d3dkmddi.h,['D3dkmddi.h'],['Driver_Shared_Headers\\d3dkmddi.h'],WDK,display,callback,function,function,N,Type Mismatch,D4FAA247-1AA5-4A13-9735-6560251D7570,N/A,display\dxgkddi_setvidpnsourceaddresswithmultiplaneoverlay3.htm,d3dkmddi\SkeletonMD\nc-d3dkmddi-dxgkddi-setvidpnsourceaddresswithmultiplaneoverlay3.md,REDMOND\nabazan
DXGKDDI_UPDATEHWCONTEXTSTATE,d3dkmddi.h,['D3dkmddi.h'],['Driver_Shared_Headers\\d3dkmddi.h'],WDK,display,callback,function,function,N,Type Mismatch,EC16AE46-A10D-45FF-ADA8-E56D196D504A,N/A,display\dxgkddi_updatehwcontextstate.htm,d3dkmddi\SkeletonMD\nc-d3dkmddi-dxgkddi-updatehwcontextstate.md,REDMOND\nabazan
PDXGK_GRAPHICSPOWER_UNREGISTER,d3dkmthk.h,['D3dkmthk.h'],['Kernel_Mode_Headers_(x86)\\d3dkmthk.h'],WDK,display,callback,function,function,N,Type Mismatch,91838670-8A1B-428D-9EAC-8245C3D41C9C,N/A,display\pdxgk_graphicspower_unregister.htm,d3dkmthk\SkeletonMD\nc-d3dkmthk-pdxgk-graphicspower-unregister.md,REDMOND\nabazan
